"V1" "V2"
"CEBPB" "NFKB1"
"CEBPB" "SMAD3"
"CEBPB" "SMAD4"
"CEBPB" "STAT3"
"CFLAR" "NFKB1"
"CFLAR" "TNF"
"CFLAR" "TP53"
"CHD1" "CLDN3"
"CHD1" "CLDN4"
"CHD1" "CSNK1A1"
"CHD1" "CTNNB1"
"CHD1" "ESRP1"
"CHD1" "ESRP2"
"CHD1" "GSK3B"
"CHD1" "HDAC1"
"CHD1" "KRT18"
"CHD1" "LATS2"
"CHD1" "miR-130b"
"CHD1" "NOTCH1"
"CHD1" "PIK3CA"
"CHD1" "TP53"
"CHUK" "CTNNB1"
"CHUK" "NFKB1"
"CLDN1" "GATAD2A"
"CLDN1" "INSM2"
"CLDN1" "miR-141"
"CLDN1" "MXD3"
"CLDN1" "TFDP1"
"CLDN3" "EZH2"
"CLDN3" "GTF2F1"
"CLDN3" "KLF4"
"CLDN3" "PPARG"
"CLDN3" "SNAI1"
"CLDN4" "GATA4"
"CLDN4" "GATAD1"
"CLDN4" "GTF2F1"
"CLDN4" "JUN"
"CLDN4" "MAZ"
"CLDN4" "MIXL1"
"CLDN4" "MLX"
"CLDN4" "MYC"
"CLDN4" "PPARG"
"CLDN4" "RARA"
"CLDN4" "RXRB"
"CLDN4" "SMAD4"
"CLDN4" "SNAI1"
"CLDN4" "TFDP1"
"CLDN4" "TGIF2"
"CLDN4" "ZEB2"
"CLDN4" "ZNF580"
"CREB3L1" "HDAC1"
"CREB3L1" "KRAS"
"CREB3L1" "KRT18"
"CREB3L1" "MUC1"
"CREB3L1" "NOTCH1"
"CREB3L1" "SIRT1"
"CREB3L1" "SNAI1"
"CREB3L1" "STAT3"
"CREB3L1" "VIM"
"CREB3L1" "YBX1"
"CREBBP" "CTNNB1"
"CREBBP" "ETS1"
"CREBBP" "HDAC1"
"CREBBP" "HDAC2"
"CREBBP" "LEF1"
"CREBBP" "SMAD2"
"CREBBP" "SMAD3"
"CREBBP" "SMAD4"
"CREBBP" "STAT3"
"CREBBP" "TCF3"
"CREBBP" "TCF7"
"CREBBP" "TCF7L1"
"CREBBP" "TCF7L2"
"CREBBP" "TGFB1"
"CREBBP" "TP53"
"CREM" "GSK3B"
"CREM" "HRAS"
"CREM" "LEF1"
"CREM" "WNT1"
"CREM" "ZEB2"
"CRK" "miR-192"
"CRK" "miR-205"
"CRK" "miR-215"
"CRK" "PIK3CA"
"CRK" "SOS1"
"CRKL" "SOS1"
"CSF1R" "HRAS"
"CSF1R" "miR-34a"
"CSF1R" "STAT3"
"CSN2" "NFKB1"
"CSNK1A1" "CTNNB1"
"CSNK1A1" "ELF1"
"CSNK1A1" "GLI2"
"CSNK1A1" "GLI3"
"CSNK1A1" "GTF2E2"
"CSNK1A1" "KLF4"
"CSNK1A1" "miR-205"
"CSNK1A1" "SNAI1"
"CSNK1A1" "TAF7"
"CSNK1A1" "TEAD1"
"CSNK1A1" "TP53"
"CSNK1A1" "UBC"
"CSNK1A1" "YWHAE"
"CSNK1A1" "YWHAH"
"CSNK1A1" "YWHAQ"
"CSNK1A1" "YWHAZ"
"CSNK1A1" "ZNF202"
"CSNK2A1" "CTNNB1"
"CSNK2A1" "HDAC1"
"CSNK2A1" "HDAC2"
"CSNK2A1" "SIRT1"
"CSNK2A1" "TP53"
"CTBP1" "CTNNB1"
"CTBP1" "HDAC1"
"CTBP1" "HDAC2"
"CTBP1" "miR-192"
"CTBP1" "NOTCH1"
"CTBP1" "OCLN"
"CTBP1" "TCF7L2"
"CTBP1" "ZEB1"
"CTBP1" "ZEB2"
"CTBP2" "ESRP1"
"CTBP2" "HDAC2"
"CTBP2" "HMGA2"
"CTBP2" "LEF1"
"CTBP2" "miR-141"
"CTBP2" "MUC1"
"CTBP2" "TCF7L1"
"CTBP2" "TWIST1"
"CTBP2" "VIM"
"CTBP2" "ZEB1"
"CTBP2" "ZEB2"
"CTCF" "HMGA2"
"CTCF" "miR-192"
"CTCF" "miR-215"
"CTCF" "MUC1"
"CTCF" "PIK3CA"
"CTCF" "RAF1"
"CTCF" "SIRT1"
"CTCF" "SMAD3"
"CTCF" "SMAD4"
"CTCF" "TP53"
"CTCF" "WNT1"
"CTCF" "YBX1"
"CTCF" "ZEB1"
"CTNNB1" "DVL2"
"CTNNB1" "DVL3"
"CTNNB1" "EGFR"
"CTNNB1" "EP300"
"CTNNB1" "ERBB2"
"CTNNB1" "ERBB3"
"CTNNB1" "ESRRA"
"CTNNB1" "ETV4"
"CTNNB1" "FBXW11"
"CTNNB1" "FGFR1"
"CTNNB1" "FHL2"
"CTNNB1" "FLT1"
"CTNNB1" "FLT3"
"CTNNB1" "FOXO1"
"CTNNB1" "FZD5"
"CTNNB1" "FZD7"
"CTNNB1" "GLIS2"
